"h3_id","count_traffic","mean_speed","scale"
"8a6ad8d16307fff","7.4286","53.1551","5"
"8a6ad8da9b87fff","4.0526","55.83","5"
"8a6ad8d1d647fff","1.1429","58.0617","5"
"8a6ad8da138ffff","1.0","56.2385","5"
"8a6ad8d1d657fff","1.1429","58.9093","5"
"8a6ad8d1d74ffff","1.0","56.0528","5"
"8a6ad8da1507fff","1.0","57.6602","5"
"8a6ad8d1d747fff","1.1429","53.2091","5"
"8a6ad8c14d27fff","2.2632","52.0164","5"
"8a6ad8d0901ffff","1.0","58.5819","5"
"8a6ad8da916ffff","11.5714","56.9066","5"
"8a6ad8d122affff","1.8235","55.3771","5"
"8a6ad8d0260ffff","1.3333","40.5072","4"
"8a6ad8c3265ffff","1.8571","42.4363","4"
"8a6ad8c02adffff","0.75","45.1956","4"
"8a6ad8d0880ffff","1.0","43.2422","4"
"8a6ad8d0ed37fff","1.0","40.4983","4"
"8a6ad8dad34ffff","2.0909","43.7817","4"
"8a6ad8d09ccffff","1.8333","42.4828","4"
"8a6ad8d83af7fff","1.5714","43.9098","4"
"8a6ad8da0627fff","1.0","40.1021","4"
"8a6ad8da9aa7fff","10.8095","43.2344","4"
"8a6ad8da02affff","1.0","42.2078","4"
"8a6ad8d726affff","1.0","47.723","4"
"8a6ad8c35a0ffff","1.3636","44.8742","4"
"8a6ad8d02a8ffff","2.3333","46.9019","4"
"8a6ad8c3366ffff","17.0476","42.9845","4"
"8a6ad8d02aaffff","2.3333","44.7904","4"
"8a6ad8dad36ffff","2.0909","46.2536","4"
"8a6ad8d02a1ffff","2.3333","41.4508","4"
"8a6ad8d12747fff","7.9524","43.5386","4"
"8a6ad8dad917fff","3.8095","44.3298","4"
"8a6ad8d19c2ffff","1.1429","42.585","4"
"8a6ad8d0e9affff","1.2","47.5521","4"
"8a6ad8dad267fff","2.0","43.2441","4"
"8a6ad8d1364ffff","7.3333","46.169","4"
"8a6ad8d1d0e7fff","1.0","47.266","4"
"8a6ad8d12baffff","1.4","43.9285","4"
"8a6ad8d1d767fff","1.1429","44.093","4"
"8a6ad8c35b47fff","1.8571","48.1694","4"
"8a6ad8d1c4affff","2.0","40.4907","4"
"8a6ad8d1632ffff","7.6667","45.7394","4"
"8a6ad8d09cf7fff","2.1667","43.1485","4"
"8a6ad8c32647fff","2.6316","40.3379","4"
"8a6ad8c35a67fff","1.7273","41.4019","4"
"8a6ad8d02667fff","2.25","41.7644","4"
"8a6ad8da985ffff","10.5714","45.7623","4"
"8a6ad8c35a77fff","1.6667","42.239","4"
"8a6ad8c2689ffff","1.1818","43.9118","4"
"8a6ad8da1567fff","1.0","43.1643","4"
"8a6ad8da02effff","1.0","47.6491","4"
"8a6ad8da062ffff","1.0","41.0391","4"
"8a6ad8d1631ffff","4.4","42.0067","4"
"8a6ad8c268c7fff","1.3333","44.1721","4"
"8a6ad8d19d57fff","1.1667","45.2283","4"
"8a6ad8c02aaffff","1.0","46.5106","4"
"8a6ad8da1217fff","1.0","40.7168","4"
"8a6ad8dad9b7fff","10.0952","47.7213","4"
"8a6ad8d1949ffff","1.0","48.6429","4"
"8a6ad8d1958ffff","1.0","41.0073","4"
"8a6ad8d8985ffff","2.0","42.8372","4"
"8a6ad8d72687fff","1.0","41.3674","4"
"8a6ad8d8181ffff","1.5","45.1786","4"
"8a6ad8c35a57fff","1.5454","48.262","4"
"8a6ad8d0902ffff","1.0","43.2862","4"
"8a6ad8d81ba7fff","1.0","42.4047","4"
"8a6ad8dac41ffff","1.0","40.1028","4"
"8a6ad8c26997fff","1.0","43.7889","4"
"8a6ad8c3226ffff","17.381","48.4847","4"
"8a6ad8c24cc7fff","1.3333","45.5339","4"
"8a6ad8c35b4ffff","1.6667","44.8634","4"
"8a6ad8d1d057fff","1.1429","48.8401","4"
"8a6ad8d08827fff","1.6667","47.0629","4"
"8a6ad8c2602ffff","1.0","41.508","4"
"8a6ad8d02a17fff","2.3333","43.0147","4"
"8a6ad8d0e497fff","1.0","47.8892","4"
"8a6ad8d72697fff","1.0","45.745","4"
"8a6ad8d19497fff","1.0","40.2012","4"
"8a6ad8da139ffff","1.0","48.6504","4"
"8a6ad8da108ffff","1.0","41.4913","4"
"8a6ad8d83ad7fff","1.0","42.8271","4"
"8a6ad8da0647fff","1.0","41.8506","4"
"8a6ad8d02297fff","1.0","47.0234","4"
"8a6ad8d0e487fff","1.1667","44.0258","4"
"8a6ad8d1e62ffff","2.0","43.3735","4"
"8a6ad8c32657fff","2.0","40.488","4"
"8a6ad8d19417fff","1.1667","45.3927","4"
"8a6ad8c326d7fff","2.6316","44.9991","4"
"8a6ad8d89a87fff","1.4286","46.7542","4"
"8a6ad8d1cc1ffff","2.25","48.8086","4"
"8a6ad8d1b0e7fff","1.5714","45.7393","4"
"8a6ad8d726e7fff","1.0","42.5832","4"
"8a6ad8d1ad87fff","2.2","46.0046","4"
"8a6ad8dad247fff","2.1818","46.8237","4"
"8a6ad8d09cdffff","1.5","42.2435","4"
"8a6ad8d02657fff","2.25","41.1434","4"
"8a6ad8da025ffff","1.0","40.8977","4"
"8a6ad8dad347fff","1.0","42.2336","4"
"8a6ad8d0e887fff","1.0","46.9333","4"
"8a6ad8dad24ffff","1.0","43.6854","4"
"8a6ad8d833a7fff","1.0","42.4594","4"
"8a6ad8d0268ffff","1.0","47.295","4"
"8a6ad8d0882ffff","2.0","47.949","4"
"8a6ad8d81247fff","1.4286","43.3324","4"
"8a6ad8da9ab7fff","11.6667","48.5147","4"
"8a6ad8d1e327fff","2.1429","48.9075","4"
"8a6ad8dad2cffff","2.3","46.7967","4"
"8a6ad8c24ceffff","1.0","46.4325","4"
"8a6ad8d02ba7fff","2.5","48.7301","4"
"8a6ad8d81ac7fff","1.4286","47.425","4"
"8a6ad8d14797fff","7.3333","44.1168","4"
"8a6ad8d0e99ffff","1.2","43.0463","4"
"8a6ad8da155ffff","1.0","42.8121","4"
"8a6ad8d1ac97fff","1.25","44.91","4"
"8a6ad8c26107fff","1.2","43.3207","4"
"8a6ad8d726a7fff","1.0","44.795","4"
"8a6ad8c35a8ffff","1.6667","43.1289","4"
"8a6ad8d1b86ffff","1.125","43.1216","4"
"8a6ad8c35b6ffff","1.6667","43.4741","4"
"8a6ad8d02ad7fff","2.3333","48.5539","4"
"8a6ad8d812f7fff","1.0","46.0656","4"
"8a6ad8dad617fff","11.0952","45.2962","4"
"8a6ad8d02b17fff","2.6667","45.2905","4"
"8a6ad8d09567fff","1.5","44.5549","4"
"8a6ad8c35b67fff","1.75","46.2293","4"
"8a6ad8d1b0f7fff","1.875","47.4649","4"
"8a6ad8d090a7fff","1.8333","44.8912","4"
"8a6ad8d0b00ffff","1.6667","47.2427","4"
"8a6ad8d1e74ffff","1.8889","40.3767","4"
"8a6ad8c26607fff","1.5","47.9159","4"
"8a6ad8d0e4affff","1.1667","40.558","4"
"8a6ad8d1e667fff","2.1111","45.7543","4"
"8a6ad8d1c4a7fff","1.75","44.6323","4"
"8a6ad8d81af7fff","1.5714","42.3876","4"
"8a6ad8d02af7fff","1.0","47.0259","4"
"8a6ad8da0257fff","1.0","46.7116","4"
"8a6ad8d8ed57fff","1.1429","45.4605","4"
"8a6ad8d1b0c7fff","1.0","41.5206","4"
